,price,accommodates,beds,bathrooms,number_of_reviews,rating,lat,lon,superhost,response_rate,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5,bedrooms_6,bedrooms_7,bedrooms_8,bedrooms_studio,room_type_Entire apartment,room_type_Entire condominium,room_type_Entire loft,room_type_Entire serviced apartment,room_type_Entire townhouse,room_type_Private room in apartment,room_type_others
42,50.0,2,1.0,1.0,12,5.0,40.73640323,-73.99076151,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,35.0,1,1.0,1.0,2,0.0,40.75964419,-73.99002164,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,31.0,3,1.0,1.0,159,4.5,40.82152862,-73.94650536,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,52.0,4,2.0,1.0,155,5.0,40.82974174,-73.94193364,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,50.0,2,1.0,1.0,73,4.0,40.76652118,-73.93502265,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,53.0,1,1.0,1.0,17,5.0,40.76370444,-73.98984557,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48,40.0,1,1.0,1.0,59,5.0,40.82957147,-73.94534744,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,50.0,2,1.0,1.0,20,5.0,40.75655325,-73.99534549,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,35.0,2,1.0,1.0,153,4.5,40.86079103,-73.92548247,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,42.0,1,1.0,1.0,15,5.0,40.79873158,-73.94051805,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,50.0,3,2.0,1.0,152,4.5,40.79903412,-73.95406295,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,35.0,4,2.0,1.0,72,5.0,40.86619793,-73.92646167,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,50.0,3,1.0,1.0,13,4.5,40.7486329,-73.9829067,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
