,price,accommodates,beds,bathrooms,number_of_reviews,rating,superhost,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5,bedrooms_6,bedrooms_7,bedrooms_8,bedrooms_studio,room_type_Entire apartment,room_type_Entire condominium,room_type_Entire loft,room_type_Entire serviced apartment,room_type_Entire townhouse,room_type_Private room in apartment,room_type_others
54,35.0,4,2.0,1.0,72,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,50.0,3,1.0,1.0,13,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,40.0,2,1.0,1.0,78,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,42.0,2,1.0,1.0,30,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,49.0,2,1.0,2.0,86,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,49.0,1,1.0,1.0,101,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,47.0,2,1.0,1.0,168,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,49.0,1,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,40.0,3,3.0,1.0,30,4.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
63,32.0,3,1.0,1.0,174,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,43.0,1,1.0,1.5,71,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,53.0,2,1.0,1.0,189,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,40.0,2,1.0,1.0,10,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,41.0,1,1.0,1.0,16,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,52.0,2,1.0,1.0,95,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,45.0,2,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,50.0,2,3.0,1.0,12,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,35.0,5,1.0,1.0,80,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,30.0,4,2.0,1.0,22,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,49.0,2,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,44.0,2,1.0,2.0,128,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,50.0,2,1.0,1.0,50,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,50.0,2,1.0,1.0,74,4.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
78,49.0,1,2.0,1.0,110,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,50.0,2,2.0,1.0,89,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,46.0,4,2.0,1.0,102,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,49.0,2,1.0,1.0,91,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,49.0,1,1.0,1.0,23,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,52.0,1,1.0,1.0,54,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,50.0,1,1.0,1.0,62,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,50.0,3,2.0,1.5,415,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,50.0,3,3.0,1.0,54,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
88,40.0,2,1.0,1.0,189,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89,45.0,1,1.0,1.0,9,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,50.0,3,1.0,1.0,133,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,45.0,2,1.0,1.0,11,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92,51.0,1,1.0,2.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93,35.0,2,1.0,1.0,21,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,40.0,2,1.0,1.0,11,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
95,38.0,2,1.0,1.0,69,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,49.0,1,1.0,1.0,22,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,42.0,2,1.0,1.0,55,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,42.0,1,1.0,1.0,20,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,47.0,2,1.0,1.0,42,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,48.0,4,2.0,1.0,83,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,53.0,2,1.0,1.0,124,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,40.0,1,1.0,1.0,22,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,50.0,2,1.0,1.0,51,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104,41.0,1,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105,49.0,2,1.0,1.0,62,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
106,35.0,2,1.0,3.0,7,3.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,49.0,2,1.0,1.5,31,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
108,48.0,2,1.0,2.0,14,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
109,45.0,1,1.0,1.0,58,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,50.0,2,1.0,1.0,108,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,46.0,2,1.0,1.0,32,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112,32.0,1,1.0,1.0,69,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,45.0,2,1.0,1.0,63,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114,53.0,1,1.0,1.0,106,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
